"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"CCL11",2.67957887453536e-10,-7.70149739865119,0,0.138,9.80752663868688e-06,"Up_in_2D"
"ACTA2",5.27578100048493e-09,-3.18301894351829,0.199,0.621,0.000193098860398749,"Up_in_2D"
"TAGLN",1.68442741112896e-08,-2.30422801771281,0.634,0.931,0.000616517276747309,"Up_in_2D"
"DYNC1LI2",2.1066519064284e-08,-2.82186928126091,0.237,0.69,0.000771055664271858,"Up_in_2D"
"MAP1B",2.44363129155271e-08,-2.40145365777052,0.415,0.828,0.000894393489021208,"Up_in_2D"
"SLC40A1",3.11054395547346e-08,-7.67040127645302,0.003,0.138,0.00113849019314284,"Up_in_2D"
"IRF6",4.76725384218903e-08,-7.3866719384856,0,0.103,0.00174486257877961,"Up_in_2D"
"SLC36A1",4.76725384218903e-08,-5.10348327244601,0,0.103,0.00174486257877961,"Up_in_2D"
"ARSE",4.76725384218903e-08,-6.30036213819059,0,0.103,0.00174486257877961,"Up_in_2D"
"PPP1R14A",1.32774185855696e-07,-3.36313140796824,0.049,0.31,0.00485966797650434,"Up_in_2D"
"PTPDC1",1.4486497125164e-07,-3.44141681878986,0.01,0.172,0.00530220281278128,"Up_in_2D"
"CLIC3",2.14198291902607e-07,-3.38293421204695,0.038,0.276,0.0078398716819273,"Up_in_2D"
"MT2A",3.33519167554953e-07,1.43498776069828,0.997,1,0.0122071350516788,"Up_in_3D"
"SOD2",4.77443231008728e-07,-1.77951435153772,0.505,0.931,0.0174748996981504,"Up_in_2D"
